text,label
Your Zomato order #131970 is out for delivery.,ham
Your OTP for Amazon is 322896. Do not share it.,ham
You’ve been selected for a special gift. Click: http://bit.ly/4255,spam
Thanks for your payment of INR 7531.,ham
Your Zomato order #799845 is out for delivery.,ham
Happy birthday! Wishing you a great year ahead.,ham
Your account has been credited with INR 3136. A/c no: XXXX3442.,ham
Exclusive offer! Get 49% off on all items. Hurry!,spam
Electricity bill of INR 512 is due on 3 May 2025.,ham
Your Flipkart return request has been approved.,ham
"Hey, are we still on for dinner at 7?",ham
Your Zomato order #792895 is out for delivery.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3082,spam
Your Jio plan has been activated. Valid till 11 May 2025.,ham
Your Flipkart return request has been approved.,ham
Get a loan of up to INR 8545 instantly. No documents needed!,spam
Claim your reward now! Visit http://bit.ly/3694,spam
Your account is suspended. Verify at http://bit.ly/1407 immediately.,spam
Limited time deal on electronics. Shop now: http://bit.ly/4056,spam
Your OTP for Amazon is 881343. Do not share it.,ham
Get a loan of up to INR 9570 instantly. No documents needed!,spam
Your OTP for Amazon is 654830. Do not share it.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/4283,spam
Exclusive offer! Get 30% off on all items. Hurry!,spam
Happy birthday! Wishing you a great year ahead.,ham
Limited time deal on electronics. Shop now: http://bit.ly/5338,spam
"Hey, are we still on for dinner at 7?",ham
Thanks for your payment of INR 6339.,ham
"Hey, are we still on for dinner at 7?",ham
Electricity bill of INR 121 is due on 23 May 2025.,ham
Work from home and earn INR 9284/week. Join today!,spam
Exclusive offer! Get 83% off on all items. Hurry!,spam
Free recharge worth INR 7805. Click to get it: http://bit.ly/2129,spam
Your account is suspended. Verify at http://bit.ly/2815 immediately.,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/4877,spam
Meeting rescheduled to 10:47 AM tomorrow.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/1677,spam
Your Jio plan has been activated. Valid till 22 May 2025.,ham
Exclusive offer! Get 51% off on all items. Hurry!,spam
Work from home and earn INR 6788/week. Join today!,spam
Work from home and earn INR 1251/week. Join today!,spam
Get a loan of up to INR 1425 instantly. No documents needed!,spam
"Hey, are we still on for dinner at 7?",ham
Your OTP for Amazon is 161677. Do not share it.,ham
Your account is suspended. Verify at http://bit.ly/3540 immediately.,spam
Limited time deal on electronics. Shop now: http://bit.ly/9072,spam
Your ATM card will be blocked. Update details now: http://bit.ly/1819,spam
Limited time deal on electronics. Shop now: http://bit.ly/4338,spam
Get a loan of up to INR 1377 instantly. No documents needed!,spam
Happy birthday! Wishing you a great year ahead.,ham
Free recharge worth INR 1391. Click to get it: http://bit.ly/1649,spam
Get a loan of up to INR 2427 instantly. No documents needed!,spam
Your Zomato order #144375 is out for delivery.,ham
Electricity bill of INR 5075 is due on 10 May 2025.,ham
Your OTP for Amazon is 852623. Do not share it.,ham
Your Jio plan has been activated. Valid till 15 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/3538,spam
Electricity bill of INR 9841 is due on 21 May 2025.,ham
Your account has been credited with INR 407. A/c no: XXXX3127.,ham
Your OTP for Amazon is 698445. Do not share it.,ham
Limited time deal on electronics. Shop now: http://bit.ly/9669,spam
Your Zomato order #228797 is out for delivery.,ham
Exclusive offer! Get 79% off on all items. Hurry!,spam
Your OTP for Amazon is 985880. Do not share it.,ham
Your Jio plan has been activated. Valid till 19 May 2025.,ham
Your account is suspended. Verify at http://bit.ly/7518 immediately.,spam
Your OTP for Amazon is 860938. Do not share it.,ham
Your Jio plan has been activated. Valid till 14 May 2025.,ham
Claim your reward now! Visit http://bit.ly/3904,spam
Your Jio plan has been activated. Valid till 6 May 2025.,ham
Your Flipkart return request has been approved.,ham
Thanks for your payment of INR 8820.,ham
Free recharge worth INR 2445. Click to get it: http://bit.ly/4829,spam
Thanks for your payment of INR 572.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/1554,spam
Happy birthday! Wishing you a great year ahead.,ham
Your Jio plan has been activated. Valid till 11 May 2025.,ham
Your Jio plan has been activated. Valid till 1 May 2025.,ham
Electricity bill of INR 2649 is due on 11 May 2025.,ham
Congratulations! You've won a free iPhone. Click here: http://bit.ly/7245,spam
Thanks for your payment of INR 933.,ham
Claim your reward now! Visit http://bit.ly/7259,spam
Congratulations! You've won a free iPhone. Click here: http://bit.ly/1978,spam
Your OTP for Amazon is 189146. Do not share it.,ham
Your account is suspended. Verify at http://bit.ly/2053 immediately.,spam
Claim your reward now! Visit http://bit.ly/1476,spam
You’ve been selected for a special gift. Click: http://bit.ly/3466,spam
Get a loan of up to INR 4212 instantly. No documents needed!,spam
Your account is suspended. Verify at http://bit.ly/9042 immediately.,spam
Your OTP for Amazon is 364947. Do not share it.,ham
Your OTP for Amazon is 127053. Do not share it.,ham
Your Jio plan has been activated. Valid till 6 May 2025.,ham
Your ATM card will be blocked. Update details now: http://bit.ly/9945,spam
